level_0,index,caption,caption_summary,image
146,153,"HAADF-STEM image of MOLs shows connected clusters and local disorder areas within the bulk of Hf-MOLs. Different layers of Hf-MOLs stack to form the yellow polygonal area, and some disorder structures (yellow square) are generated at the interface.","['MOLs', 'HAADF-STEM', 'disorder']",image_folder/s41467-022-32330-z_fig3_c.jpg
147,154,A zoomed-in area of the white square region in c.,"['zoomed-in', 'white square', 'region']",image_folder/s41467-022-32330-z_fig3_d.jpg
148,155,Enlarged region of the white frame in d.,"['materials', 'characterization techniques', 'enlarged region']",image_folder/s41467-022-32330-z_fig3_f.jpg
149,156,Ptychographic reconstruction of MOLs from 4D-STEM data.,"['Ptychographic reconstruction', 'MOLs', '4D-STEM']",image_folder/s41467-022-32330-z_fig4_b.jpg
150,157,"Ptychographic reconstruction of a simulated dataset of Hf-MOLs with four layers. Scaler bars: b, d 5 nm; e, f 1 nm.","['Ptychographic reconstruction', 'Hf-MOLs', 'simulated dataset']",image_folder/s41467-022-32330-z_fig4_f.jpg
151,158,2D class average of 70 unit cells of the reconstructed phase image. The image shows Hf-clusters and BTB ligands.,"['Hf-clusters', 'BTB ligands', '2D class average']",image_folder/s41467-022-32330-z_fig4_e.jpg
152,159,Ptychographic reconstructed phase image of the surface/interface of the MOLs. The white dash line shows the nanoscale surface ligand layer.,"['nanoscale surface', 'interface', 'Ptychographic']",image_folder/s41467-022-32330-z_fig4_d.jpg
153,160,"Intensity of Fourier transform of the reconstructed phase image of Hf-MOLs, in which the dashed white circle represents information transfer to 1/2.36 Å−1.","['Fourier transform', 'Hf-MOLs', 'information transfer']",image_folder/s41467-022-32330-z_fig4_c.jpg
154,161,"(B) (a, b, c) Transmission electron images of ultrathin sections prepared from samples in A by BF-STEM, and (d, e, f) tungsten mapping (green) of a, b, c, respectively by EDX. a and d, control; b and e, imipenem treated; c and f, colistin treated. PC, polycarbonate membrane. Bacteria with high electron density in the surface (blue arrows), and bacteria with high electron density throughout (red arrows).","['material characterization', 'transmission electron microscopy', 'tungsten mapping']",image_folder/s41598-023-38198-3_fig1_b.jpg
155,168,"Magnified BSE images of E. coli (ATCC 25922); a, imipenem treated; b, colistin treated. Red arrows indicate type 2, grey arrows indicate type 3, and others are classified as type 1.","['E. coli', 'BSE images', 'characterization techniques']",image_folder/s41598-023-38198-3_fig2_b.jpg
156,169,Bacterial images when type 1 of low-bright was reduced to approximately 50% or less after the start of imipenem or colistin administration; for colistin-treated ATCC 15151 at the time of type 1 decrease (see Fig. 3).,"['bacterial images', 'type 1', 'imipenem', 'colistin']",image_folder/s41598-023-38198-3_fig4_b.jpg
157,170,"Conventional set-up, with a round probe-forming aperture and monolithic, single-pixel ADF and BF detectors below the sample.","['probe-forming aperture', 'ADF', 'BF detectors']",image_folder/ncomms10719_fig1_a.jpg
158,171,Scanning electron microscopy image of the patterned phase plate with 20 ring pairs used in this study,"['scanning electron microscopy', 'patterned phase plate', 'ring pairs']",image_folder/ncomms10719_fig2_b.jpg
159,172,Schematic of a phase plate with 4 ring pairs,"['phase plate', 'ring pairs', 'schematic']",image_folder/ncomms10719_fig2_a.jpg
160,173,The image of the centre beam averaged from all diffraction patterns.,"['beam', 'diffraction', 'image']",image_folder/ncomms10719_fig3_a.jpg
161,174,"Same as (b), with gold NPs shaded with random colours to emphasize the surrounding carbon.","['gold nanoparticles', 'carbon', 'characterization']",image_folder/ncomms10719_fig3_d.jpg
162,175,The projected potential,"['projected potential', 'material characterization', 'material science']",image_folder/ncomms10719_fig4_a.jpg
163,176,BF-STEM,"['nanoparticles', 'characterization', 'STEM']",image_folder/ncomms10719_fig4_c.jpg
164,177,moderate dose,"['materials', 'characterization techniques', 'moderate dose']",image_folder/ncomms10719_fig4_g.jpg
165,178,moderate dose,"['materials', 'characterization techniques', 'moderate dose']",image_folder/ncomms10719_fig4_d.jpg
166,179,MIDI–STEM,"['material science', 'characterization techniques', 'MIDI–STEM']",image_folder/ncomms10719_fig4_i.jpg
167,180,moderate dose,"['nanoparticles', 'drug delivery', 'toxicity']",image_folder/ncomms10719_fig4_j.jpg
168,183,Projected potential of a DNA snippet connecting two gold NPs on a single layer of graphene substrate,"['DNA', 'gold NPs', 'graphene']",image_folder/ncomms10719_fig5_a.jpg
169,187,BF-STEM,"['material science', 'characterization techniques', 'BF-STEM']",image_folder/ncomms10719_fig5_c.jpg
170,188,ADF-STEM,"['ADF-STEM', 'material characterization']",image_folder/ncomms10719_fig5_d.jpg
171,191,"2D slice of a tomogram of a C. parvum sporozoite, highlighting various structural features and organelles in the apical region. The cyan box denotes the region shown in panel e.","['tomogram', 'C. parvum sporozoite', 'structural features']",image_folder/s41467-023-40520-6_fig1_c.jpg
172,192,"2D slices from tomograms displaying F-actin around the PCRs and conoid, entering the pellicular space.","['F-actin', 'tomograms', 'pellicular space']",image_folder/s41467-023-40520-6_fig1_d.jpg
173,198,"2D slices from different tomograms displaying pellicular F-actin and cytoplasmic F-actin, both associated with the upper PCR. Note the difference in conoid extrusion between the two. In the bottom panel showing a parasite with a retracted conoid, a putative density is observed linking cytoplasmic F-actin to the IMC collar. An additional slice through the same tomogram is also shown in Supplementary Fig. 2a to unambiguously show the retracted conoid.","['F-actin', 'cytoplasmic F-actin', 'conoid extrusion']",image_folder/s41467-023-40520-6_fig3_b.jpg
174,199,2D histogram of F-actin-IMCSF distance versus orientation assessed using 4 nm filament segments from the original tomogram (left) and a randomized control (right).,"['F-actin', 'IMCSF', 'distance']",image_folder/s41467-023-40520-6_fig4_e.jpg
175,200,"Projected potential, filtered as in b, based on the all-electron DFT calculation.","['Projected potential', 'all-electron DFT calculation']",image_folder/nmat2941_fig1_e.jpg
176,201,Relaxed atomic configuration for a nitrogen substitution in graphene. Bond lengths are given in angstroms.,"['nitrogen substitution', 'graphene', 'atomic configuration']",image_folder/nmat2941_fig1_a.jpg
177,202,"Atomic structure (same bond lengths), with the changes in projected electron density due to bonding shown in colour. Blue corresponds to a lower, red to a higher electron density in the DFT result as compared with the neutral-atom (IAM) case.","['atomic structure', 'electron density', 'bonding']",image_folder/nmat2941_fig1_d.jpg
178,203,"Projected potential based on the IAM, with the periodic components of the graphene lattice removed, and bandwidth-limited to our experimental resolution (about 1.8 Å). Dark contrast corresponds to higher projected potential values, in accordance with our TEM imaging conditions.","['graphene', 'potential', 'TEM imaging']",image_folder/nmat2941_fig1_b.jpg
179,204,"Scherzer defocus images. The dark contrast can be directly interpreted as atomic structure. However, the nitrogen substitution defects are not significantly above the noise (red circles).","['Scherzer defocus', 'atomic structure', 'nitrogen substitution']",image_folder/nmat2941_fig3_a.jpg
180,205,"Scherzer defocus images. The dark contrast can be directly interpreted as atomic structure. However, the nitrogen substitution defects are not significantly above the noise (red circles).","['Scherzer defocus', 'atomic structure', 'nitrogen substitution']",image_folder/nmat2941_fig3_b.jpg
181,206,"Larger defocus images (f2) of the same area as shown in a–c. The nitrogen defects are clearly detected as a smooth dark contrast (in any case, a filter (e,f) is needed to discern the N dopants against the much stronger signal of the single layer graphene lattice). The extended defect (red dashed line in a) allows us to compare the same atomic position in both focus values.","['defects', 'nitrogen', 'graphene']",image_folder/nmat2941_fig3_e.jpg
182,207,"Scherzer defocus images. The dark contrast can be directly interpreted as atomic structure. However, the nitrogen substitution defects are not significantly above the noise (red circles).","['Scherzer defocus', 'atomic structure', 'nitrogen substitution']",image_folder/nmat2941_fig3_c.jpg
183,208,TEM simulation using potentials from the all-electron DFT simulation.,"['TEM simulation', 'all-electron DFT', 'potentials']",image_folder/nmat2941_fig4_c.jpg
184,209,"Conventional, IAM TEM image simulation for single-layer hBN.","['TEM image simulation', 'single-layer hBN']",image_folder/nmat2941_fig4_a.jpg
185,210,TEM simulation using potentials from the all-electron DFT simulation.,"['TEM simulation', 'all-electron DFT', 'potentials']",image_folder/nmat2941_fig4_d.jpg
186,211,"Conventional, IAM TEM image simulation for single-layer hBN.","['TEM image simulation', 'single-layer hBN']",image_folder/nmat2941_fig4_b.jpg
187,212,"Measured series of EELS gain spectra as a function of light wavelength (vertical axis), showing two distinct resonances at 586.27 nm (2.1148 eV) and 601.02 nm (2.0629 eV) with quality factors of 244 and 194, respectively.","['EELS', 'gain spectra', 'resonances']",image_folder/s41467-023-39979-0_fig2_a.jpg
188,214,"EEGS probability maps at the peak wavelength of (a) with Rf = (xf, yf) scanned for incident light polarized along y","['EEGS probability maps', 'peak wavelength', 'incident light']",image_folder/s41467-023-39979-0_fig3_c.jpg
189,215,"EEGS probability maps at the peak wavelength of (a) with Rf = (xf, yf) scanned for incident light polarized along z","['EEGS', 'probability maps', 'incident light']",image_folder/s41467-023-39979-0_fig3_d.jpg
190,216,(a) is L1 reduced using fast on-the-fly calibration using a 3□ threshold (see “Methods” section),"['material science', 'characterization techniques', 'calibration']",image_folder/s41467-020-20694-z_fig2_b.jpg
191,217,"Panels a and b are Fourier transforms (FT) of summed L1 reduced frames of HRTEM movies of a molybdenum disulfide 2-D crystal, acquired using a JEOL 2200 microscope operating at 200 keV and a DE-16 detector running at 300 fps, with a pixel resolution of 0.2□","['Fourier transforms', 'HRTEM', 'molybdenum disulfide']",image_folder/s41467-020-20694-z_fig2_a.jpg
192,219,"Show throughputs when using 10 GbE and IPoIB connections to write directly to NAS, respectively.","['throughputs', '10 GbE', 'IPoIB']",image_folder/s41467-020-20694-z_fig5_d.jpg
193,220,"Optical microscope picture of the assembled setup for the first experimental run, with a multiturn pick-up coil and without the microwire. The scale bar is 200 μm.","['optical microscope', 'experimental setup', 'pick-up coil']",image_folder/ncomms1581_fig1_b.jpg
194,222,Optical image of a typical hBN nanostructure.,"['hBN', 'nanostructure', 'optical image']",image_folder/s41467-023-40603-4_fig1_c.jpg
195,223,Spatiotemporal evolution of waveguide modes measured with TR-PEEM.,"['waveguide modes', 'TR-PEEM', 'spatiotemporal evolution']",image_folder/s41467-023-40603-4_fig3_a.jpg
196,224,Real-space PEEM image showing a nanofocusing with 75 nm size for a ring slit with m = 0 and large r0 = 20.7 μm excited with RCP at 410 nm.,"['nanofocusing', 'ring slit', 'PEEM']",image_folder/s41467-023-40603-4_fig4_a.jpg
197,225,Corresponding momentum-space PEEM image without an energy filter with a size of 0.26 Å−1.,"['momentum-space', 'PEEM', 'image']",image_folder/s41467-023-40603-4_fig4_c.jpg
198,226,Corresponding energy diagram indicating the localization of photoemitted electrons in energy and emission direction.,"['energy diagram', 'photoemitted electrons', 'localization']",image_folder/s41467-023-40603-4_fig4_e.jpg
199,227,"Particles A, B, C and D represent the typical lithiation mechanisms observed in the graphite electrode","['lithiation mechanisms', 'graphite electrode']",image_folder/s41467-023-40574-6_fig3_c.jpg
200,228,Predicted current density distribution of the lithiation/delithiation (blue profiles) and plating/stripping (green profiles) reactions during charge and relaxation by macroscopic phase-field modeling,"['lithiation/delithiation', 'plating/stripping', 'phase-field modeling']",image_folder/s41467-023-40574-6_fig3_a.jpg
201,229,rate-dependent phase separation and heterogeneities at single particle level observed within the field of view,"['phase separation', 'heterogeneities', 'single particle']",image_folder/s41467-023-40574-6_fig3_b.jpg
202,230,extracted from the locations as shown in Fig. S6a,"['fig3d', 'locations', 'characterization techniques']",image_folder/s41467-023-40574-6_fig3_d.jpg
203,231,Visualization of the horizontal and vertical pore,"['pore visualization', 'material characterization']",image_folder/s41467-023-40574-6_fig4_e.jpg
204,232,Spatial distribution of the geometric tortuosity,"['geometric tortuosity', 'spatial distribution']",image_folder/s41467-023-40574-6_fig4_d.jpg
205,233,Comparison of the size distribution of the horizontal and vertical pore on a cross-sectional slice,"['pore size distribution', 'cross-sectional slice']",image_folder/s41467-023-40574-6_fig4_g.jpg
206,234,Diffusive flux obtained by CFD simulation based on the pore structure in (b),"['CFD simulation', 'pore structure', 'diffusive flux']",image_folder/s41467-023-40574-6_fig4_c.jpg
207,235,3D volume rendering of the electrode,"['electrode', '3D volume rendering']",image_folder/s41467-023-40574-6_fig4_a.jpg
208,236,Comparison of the size distribution of the horizontal and vertical pore on a cross-sectional slice,"['pore size distribution', 'cross-sectional slice']",image_folder/s41467-023-40574-6_fig4_h.jpg
209,237,Graphite particles represented by elliptical templates with the color-code showing the size distribution,"['graphite particles', 'elliptical templates', 'size distribution']",image_folder/s41467-023-40574-6_fig4_f.jpg
210,238,The measured OCV curves during relaxation after being charged to each SOC level at 1C in a 2 mAh cm−2 cell,"['OCV curves', 'relaxation', 'SOC level']",image_folder/s41467-023-40574-6_fig5_c.jpg
211,239,The measured OCV curves during relaxation after being charged to each SOC level at 1C in a 1 mAh cm−2 cell,"['OCV curves', 'relaxation', 'SOC level']",image_folder/s41467-023-40574-6_fig5_b.jpg
212,240,"the plating thickness in a 4 mAh cm−2 (100 μm) electrode is shown in (c), alongside the SOC and electrolyte concentration Ce distribution at 65% SOC","['plating thickness', 'electrode', 'SOC']",image_folder/s41467-023-40574-6_fig7_c.jpg
213,241,Topography and CPD maps (6 µm × 5 µm) of the regions within the dotted box in b in an OCV state.,"['topography', 'CPD maps', 'OCV state']",image_folder/s41467-023-36792-7_fig2_c.jpg
214,242,Topography and CPD maps (6 µm × 5 µm) of the regions within the dotted box in b in an OCV state.,"['topography', 'CPD maps', 'OCV state']",image_folder/s41467-023-36792-7_fig2_d.jpg
215,243,Morphology changes after electron-beam irradiation for 400 s. c and d are recorded by measuring in secondary electron detection mode.,"['morphology changes', 'electron-beam irradiation', 'secondary electron detection']",image_folder/s41467-023-36792-7_fig4_d.jpg
216,244,"Same area as in d, but electrons were collected with a backscattering electron detector.",['backscattering electron detector'],image_folder/s41467-023-36792-7_fig4_e.jpg
217,245,Morphological evolution of lithium particles on a LLZO cross-section with increasing duration under electron-beam irradiation. The surface includes grain boundaries and in-grain areas.,"['morphological evolution', 'lithium particles', 'LLZO cross-section']",image_folder/s41467-023-36792-7_fig4_b.jpg
218,246,Schematic diagram of electron injection causing a reduction of lithium ions in LLZO into lithium metal.,"['electron injection', 'lithium ions', 'LLZO']",image_folder/s41467-023-36792-7_fig4_a.jpg
219,247,Changes of LLZO grain boundaries in the initial stage of electron-beam irradiation.,"['LLZO', 'grain boundaries', 'electron-beam irradiation']",image_folder/s41467-023-36792-7_fig5_b.jpg
220,248,Changes of LLZO grain boundaries in the initial stage of electron-beam irradiation.,"['LLZO', 'grain boundaries', 'electron-beam irradiation']",image_folder/s41467-023-36792-7_fig5_d.jpg
221,249,a SEM image of a cross-section of LLZO freshly prepared.,"['SEM image', 'cross-section', 'LLZO']",image_folder/s41467-023-36792-7_fig5_a.jpg
222,250,Changes of LLZO grain boundaries in the initial stage of electron-beam irradiation.,"['LLZO', 'grain boundaries', 'electron-beam irradiation']",image_folder/s41467-023-36792-7_fig5_c.jpg
223,251,"Low-magnification (c) dry-state TEM of PFS24-b-P4VP192 nanofibres (Ln = 759 nm, ÐL = 1.03) obtained by drop casting the solution of isopropanol on a TEM grid coated with a carbon support film after solvent evaporation.","['nanofibres', 'TEM', 'drop casting']",image_folder/s41563-023-01559-4_fig1_c.jpg
224,252,"High-magnification (f) cryo-TEM of PFS24-b-P4VP192 nanofibres (Ln = 759 nm, ÐL = 1.03) in a vitrified solution of isopropanol at ~90 K (a lacey carbon grid was used for the cryo-TEM, and the dark dots in e are ice contaminants).","['nanofibres', 'cryo-TEM', 'characterization']",image_folder/s41563-023-01559-4_fig1_f.jpg
225,253,"High-magnification (d) dry-state TEM of PFS24-b-P4VP192 nanofibres (Ln = 759 nm, ÐL = 1.03) obtained by drop casting the solution of isopropanol on a TEM grid coated with a carbon support film after solvent evaporation.","['nanofibres', 'TEM', 'drop casting']",image_folder/s41563-023-01559-4_fig1_d.jpg
226,254,"Low-magnification (e) cryo-TEM of PFS24-b-P4VP192 nanofibres (Ln = 759 nm, ÐL = 1.03) in a vitrified solution of isopropanol at ~90 K (a lacey carbon grid was used for the cryo-TEM, and the dark dots in e are ice contaminants).","['nanofibres', 'cryo-TEM', 'characterization']",image_folder/s41563-023-01559-4_fig1_e.jpg
227,255,"High-resolution cryo-TEM image of a PFS24-b-P4VP192 nanofibre (Ln = 759 nm, ÐL = 1.03) in a vitrified solution of isopropanol at ~90 K.","['nanofibre', 'cryo-TEM', 'isopropanol']",image_folder/s41563-023-01559-4_fig2_a.jpg
228,256,"Proposed PFS chains in the core of the nanofibres that are packed in a 2D lattice with pseudo-hexagonal symmetry, perpendicular to the growth direction (long axis) of the nanofibre.","['nanofibres', 'PFS chains', 'lattice']",image_folder/s41563-023-01559-4_fig3_d.jpg
229,257,"Magnified image of the yellow rectangular region in a and the measurements of lattice spacings for the crystalline PFS core. The PFS polymer chains in the core region are arranged perpendicular to the horizontal plane of the image. The lateral displacement of the lattice pattern is caused by a delocalization effect42,43,44.","['lattice spacings', 'crystalline PFS core', 'delocalization effect']",image_folder/s41563-023-01559-4_fig3_b.jpg
230,258,"FFT of the selected yellow rectangular region from a, showing a hexagonal pattern with labels for the lattice spacings of the PFS core of the nanofibres.","['nanofibres', 'hexagonal pattern', 'lattice spacings']",image_folder/s41563-023-01559-4_fig3_c.jpg
231,259,High-resolution cryo-TEM analysis of the nanofibres in a vitrified solution of isopropanol at ~90 K.,"['nanofibres', 'cryo-TEM', 'isopropanol']",image_folder/s41563-023-01559-4_fig3_a.jpg
232,260,"Calcined at 500 °C for 5 h, arrow indicates an individual 2–3 nm particle","['calcination', 'nanoparticles', 'characterization']",image_folder/ncomms8778_fig1_b.jpg
233,261,Calcined at 500 °C for 5 h,"['calcination', 'temperature', 'time']",image_folder/ncomms8778_fig1_c.jpg
234,262,Calcined at 800 °C for 5 h,"['calcination', 'temperature', 'time']",image_folder/ncomms8778_fig1_d.jpg
235,263,Calcined at 800 °C for 5 h,"['calcination', 'temperature', 'time']",image_folder/ncomms8778_fig1_e.jpg
236,264,Calcined at 500 °C for 5 h,"['calcination', 'temperature', 'time']",image_folder/ncomms8778_fig1_a.jpg
237,265,"Calcined at 800 °C for 5 h, arrows indicate very small, sub-nm features","['calcination', 'sub-nm features']",image_folder/ncomms8778_fig1_f.jpg
238,266,Plan-view HAADF image,"['material science', 'characterization techniques', 'HAADF image']",image_folder/ncomms8778_fig2_b.jpg
239,267,Plan-view HAADF image,"['material science', 'characterization techniques', 'HAADF image']",image_folder/ncomms8778_fig2_c.jpg
240,268,Cross-sectional bright-field image,"['cross-section', 'bright-field image']",image_folder/ncomms8778_fig2_e.jpg
241,269,Cross-sectional bright-field image,"['cross-section', 'bright-field image']",image_folder/ncomms8778_fig2_d.jpg
242,270,Plan-view HAADF image,"['material science', 'characterization techniques', 'HAADF image']",image_folder/ncomms8778_fig2_a.jpg
243,271,Cross-sectional bright-field image,"['cross-section', 'bright-field image']",image_folder/ncomms8778_fig2_f.jpg
244,272,Plan-view HAADF images,"['material science', 'characterization techniques', 'HAADF images']",image_folder/ncomms8778_fig3_b.jpg
245,273,Plan-view HAADF images,"['material characterization', 'HAADF imaging']",image_folder/ncomms8778_fig3_c.jpg
246,274,Cross-sectional bright-field image,"['material science', 'characterization techniques', 'cross-sectional image']",image_folder/ncomms8778_fig3_d.jpg
247,275,Plan-view HAADF images,"['material science', 'characterization techniques', 'HAADF images']",image_folder/ncomms8778_fig3_a.jpg
248,276,"Sample calcined at 500 °C after 30 min extended ex situ calcination at 800 °C, showing that a large number of atomic-scale species were generated.","['calcination', 'atomic-scale species']",image_folder/ncomms8778_fig4_b.jpg
249,277,Sample calcined at 500 °C,"['calcination', 'characterization', 'temperature']",image_folder/ncomms8778_fig4_a.jpg
250,278,"Appearance of subnanometre features in an image taken at a different area. Elapsed time, in minutes, is indicated on the upper left corner of each image. Scale bars, 5 nm (10), 2 nm (15–27), 5 and 2 nm (b).","['subnanometre features', 'image', 'scale bars']",image_folder/ncomms8778_fig5_b.jpg
251,280,CN PAGE under UV illumination loaded with lysates from HEK293T cells expressing sfGFP-SasG-mCherry heterobifunctional linkers (2–10G units) yielded discrete yellow fluorescent bands.,"['CN PAGE', 'lysates', 'heterobifunctional linkers']",image_folder/s41587-023-01713-y_fig2_b.jpg
252,281,"Corresponding TEM micrograph of mem-mCherry-targeted 1M-Qtanti-mCherry + 1M-Qtanti-mCherry (4:1). Scale bars, 100 nm.","['TEM micrograph', 'mem-mCherry-targeted', '1M-Qtanti-mCherry']",image_folder/s41587-023-01713-y_fig3_c.jpg
253,282,"Multiclass semantic segmentation results are shown color-coded in g, as defined in Fig. 1.",['multiclass semantic segmentation'],image_folder/s41587-023-01713-y_fig3_g.jpg
254,283,"Corresponding TEM micrographs showing 1M-Qt (with ~20 % anti-GFP intrabody) particles labeling gap junctions (f), a low-magnification view (scale bar, 500 nm; white arrowheads point to 1M-QtFLAG EMcapsulins) and a higher-magnification view (scale bar, 100 nm) (g).","['TEM micrographs', '1M-Qt', 'labeling gap junctions']",image_folder/s41587-023-01713-y_fig3_f.jpg
255,285,"Overview fluorescence confocal microscopy images of the optic lobe (OL) of a Drosophila line with pan-neuronal expression of 1M-QtFLAG-NLS (a) or 1M-MxFLAG-NLS (c) harboring an NLS. FLAG epitopes on the exterior surface of EMcapsulins (anti-FLAG, cyan for 1M-QtFLAG-NLS and red for 1M-MxFLAG-NLS) are colocalized with nuclei (inset with DAPI in blue; scale bar, 5 µm), but do not exhibit cytoplasmic expression (anti-Bruchpilot, gray). Scale bar, 25 µm.","['fluorescence microscopy', 'optic lobe', 'Drosophila']",image_folder/s41587-023-01713-y_fig4_a.jpg
256,288,"Isotropic FIB-SEM image volumes (4 nm voxel size) of Drosophila brains expressing 1M-QtFLAG-NLS (cyan) (c) and 1M-MxFLAG-NLS (red) (d) targeted to the nucleus. EMcapsulins and nuclear membranes were manually segmented and rendered within the FIB-SEM volume bounded by the ortho-slices. The magnifications (right) show ortho-slices through three EMcapsulins. Volume acquisition was performed with an SEM beam voltage of 1.3 kV and a working distance of 5 mm, at a nominal voxel size of 4 nm using an InLens detector. The FIB Ga beam was accelerated by 30 kV voltage at a current of 700 pA.","['FIB-SEM', 'Drosophila brains', 'EMcapsulins']",image_folder/s41587-023-01713-y_fig5_d.jpg
257,289,"Isotropic FIB-SEM image volumes (4 nm voxel size) of Drosophila brains expressing 1M-QtFLAG-NLS (cyan) (c) and 1M-MxFLAG-NLS (red) (d) targeted to the nucleus. EMcapsulins and nuclear membranes were manually segmented and rendered within the FIB-SEM volume bounded by the ortho-slices. The magnifications (right) show ortho-slices through three EMcapsulins. Volume acquisition was performed with an SEM beam voltage of 1.3 kV and a working distance of 5 mm, at a nominal voxel size of 4 nm using an InLens detector. The FIB Ga beam was accelerated by 30 kV voltage at a current of 700 pA.","['FIB-SEM', 'Drosophila brains', 'EMcapsulins']",image_folder/s41587-023-01713-y_fig5_c.jpg
258,290,"Overview TEM micrograph (d) and magnification of the region bounded via the white dashed lines in d (e). The inset shows a further zoom-in to the three EMcapsulins located inside the bounding box (black dashed lines). Scale bars for the respective magnifications are 1 μm, 100 nm and 50 nm.","['TEM micrograph', 'EMcapsulins', 'magnification']",image_folder/s41587-023-01713-y_fig6_d.jpg
259,295,"Confocal fluorescence imaging of a coronal section through the mouse brain 1 month after AAV transduction, showing direct mScarlet-I fluorescence in red and EMcapsulin expression in cyan (anti-FLAG, FITC). Scale bars, 1 mm and 200 µm (inset), respectively. The inset shows a zoomed-in region in the hippocampus.","['confocal fluorescence imaging', 'mouse brain', 'AAV transduction']",image_folder/s41587-023-01713-y_fig6_c.jpg
260,297,Optical image of the fabricated SOL compared with a matchstick.,"['fabricated SOL', 'optical image', 'matchstick']",image_folder/s41467-023-40725-9_fig1_f.jpg
261,298,Optical image of a customized SOL-based objective.,"['SOL-based objective', 'optical image']",image_folder/s41467-023-40725-9_fig1_g.jpg
262,299,Scanning electron microscopy (SEM) micrograph of the device with a zoom-in view shown in the inset.,"['SEM', 'micrograph', 'device']",image_folder/s41467-023-40725-9_fig1_e.jpg
263,300,Wide-field,"['material characterization', 'microscopy', 'wide-field imaging']",image_folder/s41467-023-40725-9_fig3_c.jpg
264,301,"Sketch of a 3D metallic fishnet wedge composed of an array of circular holes with a period of 2 μm. The depth of the wedge varies from 0.05 μm at the left edge to 1.3 um at the right edge, and the diameter of the holes is about 500 nm.","['metallic fishnet', 'circular holes', 'characterization']",image_folder/s41467-023-40725-9_fig4_a.jpg
265,302,Top-view (x-y plane) SEM micrograph of a fabricated fishnet wedge. The two insets at the bottom are the zoom-in images of a single hole (left panel) and the top-right cornner of wedge.,"['SEM micrograph', 'fishnet wedge', 'characterization']",image_folder/s41467-023-40725-9_fig4_b.jpg
266,303,LSCM,"['fluorescence microscopy', 'materials characterization']",image_folder/s41467-023-40725-9_fig4_d.jpg
267,304,our DOF-extended SOL-based microscope all working in the transmission mode (T-mode).,"['material science', 'microscopy', 'transmission mode']",image_folder/s41467-023-40725-9_fig4_e.jpg
268,305,Images of the wedge in b collected by the wide-field microsocpe c,"['wide-field microscope', 'wedge', 'images']",image_folder/s41467-023-40725-9_fig4_c.jpg
269,306,Wide-field fluorescence microscopy image of a thick neuron tissue,"['neuron tissue', 'fluorescence microscopy']",image_folder/s41467-023-40725-9_fig5_c.jpg
270,307,Bright-field,"['material science', 'characterization techniques', 'bright-field microscopy']",image_folder/s41467-023-40725-9_fig5_a.jpg
271,308,Merged dual-color fluorescence image from SOL-based microscope,"['fluorescence imaging', 'SOL-based microscope', 'dual-color imaging']",image_folder/s41467-023-40725-9_fig5_g.jpg
272,309,Wide-field fluorescence microscopy image of a thick neuron tissue,"['neuron tissue', 'fluorescence microscopy']",image_folder/s41467-023-40725-9_fig5_b.jpg
273,310,Merged dual-color fluorescence image from wide-field imaging,"['fluorescence imaging', 'wide-field imaging']",image_folder/s41467-023-40725-9_fig5_d.jpg
274,311,Zoom-in view of the enclosed area in c,"['zoom-in view', 'enclosed area']",image_folder/s41467-023-40725-9_fig5_f.jpg
275,312,Zoom-in view of the enclosed area in b,"['zoom-in view', 'enclosed area']",image_folder/s41467-023-40725-9_fig5_e.jpg
276,313,SOL-based microscopy image of the enclosed area in b,"['SOL-based microscopy', 'image', 'enclosed area']",image_folder/s41467-023-40725-9_fig5_h.jpg
277,314,BF-TEM image recorded in thermionic emission mode. The arrows indicate the CTAC surfactant coatings.,"['BF-TEM', 'thermionic emission', 'CTAC surfactant']",image_folder/s41565-022-01255-5_fig2_a.jpg
278,315,UHS-CDF image (t = 0).,"['image', 'UHS-CDF', 'characterization']",image_folder/s41565-022-01255-5_fig2_b.jpg
279,316,Spatial temperature distribution shown for the relaxation time t = 355 ps. Inset: a slice plot of the temperature distribution (the slice is parallel to the x–z plane through the nanosphere/nanoprism interface).,"['temperature distribution', 'relaxation time', 'nanosphere/nanoprism interface']",image_folder/s41565-022-01255-5_fig3_c.jpg
280,317,ISD map generated from the oscillatory section of the nanoprism in Fig. 2d.,"['ISD map', 'nanoprism', 'oscillatory section']",image_folder/s41565-022-01255-5_fig4_a.jpg
281,318,"Schematic display of the three characteristic zones observed in the nanoprism as a result of vibrational interactions (n, the radial number; l, the angular momentum number).","['nanoprism', 'vibrational interactions', 'characteristic zones']",image_folder/s41565-022-01255-5_fig4_e.jpg
282,319,Three-dimensional surface plot of the ISD map in a. The colour bar represents normalized ISD. The coordinate axes placed in the bottom-left corners in a and b indicate their orientation relationship.,"['surface plot', 'ISD map', 'coordinate axes']",image_folder/s41565-022-01255-5_fig4_b.jpg
283,320,UHS-CDF imaging of the nanoprism recorded at time zero. Inset: model of the deformed nanoprism. The green dotted arc indicates the boundary formed due to the bending deformation.,"['nanoprism', 'UHS-CDF imaging', 'deformation']",image_folder/s41565-022-01255-5_fig5_b.jpg
284,321,BF-TEM image of a Au heterodimer recorded in thermionic emission mode.,"['Au heterodimer', 'BF-TEM', 'thermionic emission']",image_folder/s41565-022-01255-5_fig5_a.jpg
